date,cleanText,sentiment,sentiment_positive,sentiment_neutral,sentiment_negative
2011-12-01,I made the volume on the Model S go to 11. Now I just need to work in a miniature Stonehenge...,neutral,0.06132848188281059,0.8745381832122803,0.06413331627845764
2011-12-22,Model S options are out! Performance in red and black for me. I will deliver my car in June/July.,neutral,0.06006262078881264,0.9237791299819946,0.016158277168869972
2011-12-31,Hacked my Tesla charge connector on a small island in the rain last night,negative,0.05549512803554535,0.26104363799095154,0.6834612488746643
2012-01-06,Model S Signature series sold out as of today,neutral,0.20159165561199188,0.7817906141281128,0.01661771535873413
2012-01-06,Feb is huge month. Model X world premier and public reveal of our LA design studio on the 9th. Stay tuned for more details.,neutral,0.0427391342818737,0.9336943626403809,0.023566555231809616
2012-01-11,"The exec conf room at Tesla used to be called Denali, but I decided to move a few letters around. Seemed more apt :)",neutral,0.033612921833992004,0.9322788715362549,0.03410825878381729
2012-01-12,"Kids these days are so grown up! RT ""Second-Graders Wow Audience With School Production Of Equus""",neutral,0.21099062263965607,0.773809552192688,0.015199800953269005
2012-01-12,Model S Performance powertrain produced so much torque today that we broke the dyno. 4.4 sec 0-60 mph will not be a problem.,neutral,0.2327209711074829,0.6726483702659607,0.09463062882423401
2012-01-13,"A Tesla Roadster just passed the 100,000 mile mark for the first time and still has over 200 miles of range.",neutral,0.33268439769744873,0.6539343595504761,0.013381212018430233
2012-01-17,That's not just paranoia (a healthy trait at times). Tesla really is under massive attack by short sellers,negative,0.025396695360541344,0.26655736565589905,0.7080458998680115
2012-01-17,Will communicate better in the future. Too many people want us to fail and are willing to twist any bit of news against Tesla.,neutral,0.06208236515522003,0.7683360576629639,0.16958153247833252
2012-01-17,"TSLA down ~$500M Friday, but back up ~$500M today. Sorry for the roller coaster.",negative,0.05199899524450302,0.07973992824554443,0.8682610988616943
2012-01-28,The Model X unveiling will be webcast live on at 8pm on Feb 9th. Most cars are pretty blah. This is not.,neutral,0.04082462564110756,0.9226206541061401,0.0365547239780426
2012-02-02,The most interesting view of the Model X is really with the doors open,neutral,0.05928109213709831,0.9237589836120605,0.01695994660258293
2012-02-07,"Yes, we will unveil a fully functional advanced prototype of the Model X -- almost identical to production.",neutral,0.3776499032974243,0.6129018664360046,0.00944819301366806
2012-02-09,Model X sketch showing just a bit more leg. Unveiling tonight...,neutral,0.08482664078474045,0.8941289782524109,0.0210444163531065
2012-02-09,"Btw, Foster the People is playing the Model X event tonight. Seemed like the right vibe.",neutral,0.09057281911373138,0.8889557719230652,0.02047141268849373
2012-02-10,"Tesla Model X is 3rd most searched term on Google, right after purple squirrel. Damn you squirrel!",neutral,0.0640651285648346,0.7496799230575562,0.18625497817993164
2012-02-10,Tesla Model X video,neutral,0.07481607049703598,0.9119242429733276,0.013259708881378174
2012-02-14,Model X review by Jim Motavalli. I think he likes the car.,neutral,0.10973112285137177,0.8734666705131531,0.01680222898721695
